State_FIPS,County_FIPS,Town_FIPS,municipality,Pop_Total_20,Voter_Reg_R_20,Voter_Reg_D_20,Vote_Gov_R_18,Vote_Gov_D_18,VAP_White_20,VAP_NonWhite_20,
9,13,76290,Tolland,14563,2645,2989,3665,3137,10194,1143,
9,5,76570,Torrington,35515,5692,6294,7521,4336,23241,5725,
9,1,77200,Trumbull,36827,6711,7837,9164,7285,22194,5573,
9,13,77830,Union,785,231,150,249,173,601,56,
9,13,78250,Vernon,30215,3608,6095,5054,5518,18952,5979,
9,11,78600,Voluntown,2570,539,432,14061,12627,1944,152,
9,9,78740,Wallingford,44396,6330,8217,10375,8175,30601,5655,
9,5,79510,Warren,1351,357,304,14061,12627,1032,74,
9,5,79720,Washington,3646,675,972,14061,12627,2764,269,
9,9,80070,Waterbury,114403,7391,23907,10728,14355,38399,47657,
9,11,80280,Waterford,19571,3064,4639,17383,16040,13465,2502,
9,5,80490,Watertown,22105,4737,3421,6751,2782,16131,1824,
9,7,81680,Westbrook,6769,1412,1332,1854,1341,5111,718,
9,3,82590,West Hartford,64083,6436,20658,8732,18417,36894,13838,
9,9,82870,West Haven,55584,3602,15824,6869,9582,24692,20424,
9,1,83430,Weston,10354,1658,2933,2062,2926,6355,1115,
9,1,83500,Westport,27141,4225,8594,5402,8283,17018,2925,
9,3,84900,Wethersfield,27298,3863,7467,5656,5997,17837,4099,
9,13,85950,Willington,5566,885,1142,1144,1190,3988,710,
9,1,86370,Wilton,18503,3787,4356,4537,4432,11302,2138,
9,5,86440,Winchester,10224,1753,1754,2424,1441,7658,895,
9,15,86790,Windham,24425,1647,4727,2052,4176,11664,7977,
9,3,87000,Windsor,29492,2872,10770,3951,9211,11396,12430,
9,3,87070,Windsor Locks,12613,1752,2709,2600,2109,8145,2244,
9,9,87560,Wolcott,16142,3621,2848,5525,1936,11636,1427,
9,9,87700,Woodbridge,9087,1305,2645,1982,2651,5406,1563,
9,5,87910,Woodbury,9723,2655,2186,2939,2073,7408,746,
9,15,88190,Woodstock,8221,1800,1612,1924,1488,5994,418,
